ESTIMATE ARRIVAL DATE,ACTUAL ARRIVAL DATE,SHIPPER NAME,SHIPPER ADDRESS ,RAW SHIPPER NAME,RAW SHIPPER ADDRESS1,RAW SHIPPER ADDRESS2,RAW SHIPPER ADDRESS3,RAW SHIPPER ADDRESS OTHERS,CONSIGNEE NAME,CONSIGNEE ADDRESS ,RAW CONSIGNEE NAME,RAW CONSIGNEE ADDR1,RAW CONSIGNEE ADDRESS2,RAW CONSIGNEE ADDRESS3,RAW CONSIGNEE ADDRESS OTHERS,NOTIFY PARTY NAME,NOTIFY PARTY ADDRESS ,RAW NOTIFY PARTY NAME,RAW NOTIFY PARTY ADDRESS1,RAW NOTIFY PARTY ADDRESS2,RAW NOTIFY PARTY ADDRESS3,RAW NOTIFY PARTY ADDRESS OTHERS,COUNTRY,HS CODE,PRODUCT DESCRIPTION,QUANTITY,QUANTITY UNIT,MEASURE UNIT,WEIGHT IN KG,WEIGHT,WEIGHT UNIT,CIF,TEU,BILL OF LADING,MASTER BILL OF LADING,BILL TYPE CODE,CARRIER SASC CODE,VESSEL COUNTRY CODE,VESSEL CODE,VESSEL NAME,VOYAGE,INBOND TYPE,MANIFEST NO,MODE OF TRANSPORTATION,LOADING PORT,UNLOADING PORT,PLACE OF RECEIPT,COUNTRY SURE LEVEL,CONTAINER ID,CONTAINER SIZE,CONTAINER TYPE,CONTAINER TYPE OF SERVICE,HS CODE SURE LEVEL,INDICATOR OF TRUE SUPPLIER,INDICATOR OF TRUE BUYER,END
16-Mar-20,16-Mar-20,DTR CORP,11 JINMA-DAERO 2498BEON-GIL IBANSEONG-MYEON JINJU-SI GYEONGNAM KOREA ,DTR CORP.,11 JINMA-DAERO 2498BEON-GIL,IBANSEONG-MYEON JINJU-SI,GYEONGNAM KOREA,TEL )82-55-758-5166,DONG AH AMERICA INC,24500 NORTHLINE RD TAYLOR MI 48180 TEL 734-946-7940 ,DONG AH AMERICA INC.,24500 NORTHLINE RD.,TAYLOR MI 48180,TEL )734-946-7940,FAX )734-946-7965,G B INTERNATIONAL INC,1001 FARGO AVE ELK GROVE VILLAGE IL 60007 TEL 847 734 0500 ,G B INTERNATIONAL INC.,1001 FARGO AVE.,ELK GROVE VILLAGE IL 60007,TEL. 847.734.0500,FAX. 847.734.0511,"KR, REPUBLIC OF KOREA",870829,PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02039 219-DO-02040 219-DO-02041<br/>PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02039 219-DO-02040 219-DO-02041<br/>PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02039 219-DO-02040 219-DO-02041<br/>,132,PKG,CM,58049,58049,KG,3482928,6,YMLUW360864624A,YMLUW360864624,H,"YMLU, YANG MING MARINE TRANSPORT CORP",JP,9629914,ONE CONTRIBUTION,040E,,200579,10,"58023, PUSAN","2709, LONG BEACH, CA",BUSAN KOREA,9,"YMLU8994790,TEMU8612543,BEAU4533598","4000*900*800,4000*900*800,4000*900*800","45G0,45G0,45G0","HH,HH,HH",5,Y,Y,END
16-Mar-20,16-Mar-20,DTR CORP,103 SANMAKGONGDANBUK 11-GIL YANGSAN-SI GYEONGSANGNAM-DO KOREA 626-120 ,DTR CORP.,103 SANMAKGONGDANBUK 11-GIL,YANGSAN-SI GYEONGSANGNAM-DO,KOREA 626-120,TEL )82-55-758-5166,DONG AH AMERICA INC,24500 NORTHLINE RD TAYLOR MI 48180 TEL 734-946-7940 ,DONG AH AMERICA INC.,24500 NORTHLINE RD.,TAYLOR MI 48180,TEL )734-946-7940,FAX )734-946-7965,G B INTERNATIONAL INC,1001 FARGO AVE ELK GROVE VILLAGE IL 60007 TEL 847 734 0500 ,G B INTERNATIONAL INC.,1001 FARGO AVE.,ELK GROVE VILLAGE IL 60007,TEL. 847.734.0500,FAX. 847.734.0511,"KR, REPUBLIC OF KOREA",870829,PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02812 219-DO-02813 219-DO-02814<br/>PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02812 219-DO-02813 219-DO-02814<br/>PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02812 219-DO-02813 219-DO-02814<br/>,163,PKG,CM,58064,58064,KG,3483819,6,YMLUW360864599A,YMLUW360864599,H,"YMLU, YANG MING MARINE TRANSPORT CORP",JP,9629914,ONE CONTRIBUTION,040E,,200579,10,"58023, PUSAN","2709, LONG BEACH, CA",BUSAN KOREA,9,"TGBU6320239,BMOU5752548,YMLU8883559","4000*900*800,4000*900*800,4000*900*800","45G0,45G0,45G0","HH,HH,HH",5,Y,Y,END
16-Mar-20,16-Mar-20,DTR CORP,103 SANMAKGONGDANBUK 11-GIL YANGSAN-SI GYEONGSANGNAM-DO KOREA 626-120 ,DTR CORP.,103 SANMAKGONGDANBUK 11-GIL,YANGSAN-SI GYEONGSANGNAM-DO,KOREA 626-120,TEL )82-55-758-5166,DONG AH AMERICA INC,24500 NORTHLINE RD TAYLOR MI 48180 TEL 734-946-7940 ,DONG AH AMERICA INC.,24500 NORTHLINE RD.,TAYLOR MI 48180,TEL )734-946-7940,FAX )734-946-7965,G B INTERNATIONAL INC,1001 FARGO AVE ELK GROVE VILLAGE IL 60007 TEL 847 734 0500 ,G B INTERNATIONAL INC.,1001 FARGO AVE.,ELK GROVE VILLAGE IL 60007,TEL. 847.734.0500,FAX. 847.734.0511,"KR, REPUBLIC OF KOREA",870829,PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02545 219-DO-02546 219-DO-02547<br/>PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02545 219-DO-02546 219-DO-02547<br/>PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02545 219-DO-02546 219-DO-02547<br/>PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02545 219-DO-02546 219-DO-02547<br/>PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02545 219-DO-02546 219-DO-02547<br/>,248,PKG,CM,96964,96964,KG,9696350,10,YMLUW360864598A,YMLUW360864598,H,"YMLU, YANG MING MARINE TRANSPORT CORP",JP,9629914,ONE CONTRIBUTION,040E,,200579,10,"58023, PUSAN","2709, LONG BEACH, CA",BUSAN KOREA,9,"TEMU7661332,BEAU4584996,CAIU9264270,SEGU6762810,MAGU5673143","4000*900*800,4000*900*800,4000*900*800,4000*900*800,4000*900*800","45G0,45G0,45G0,45G0,45G0","HH,HH,HH,HH,HH",5,Y,Y,END
16-Mar-20,16-Mar-20,CRUZGUTIERREZ CRISTIAN,8116 RM 312A 55774 BAUMHOLDER GERMANY ,"CRUZGUTIERREZ, CRISTIAN",8116 RM 312A,55774 BAUMHOLDER,GERMANY,32-33605563,CRUZGUTIERREZ CRISTIAN,FLCJ CODE 44032 PO BOX 97 NAS BLDG 110 - 1 32212-0097 NAS JACKSONVILLE FL ,"CRUZGUTIERREZ, CRISTIAN",FLCJ CODE 44032,PO BOX 97 NAS BLDG 110 - 1,"32212-0097 NAS JACKSONVILLE,FL",1-9046931577,CRUZGUTIERREZ CRISTIAN,FLCJ CODE 44032 PO BOX 97 NAS BLDG 110 - 1 32212-0097 NAS JACKSONVILLE FL ,"CRUZGUTIERREZ, CRISTIAN",FLCJ CODE 44032,PO BOX 97 NAS BLDG 110 - 1,"32212-0097 NAS JACKSONVILLE,FL",1-9046931577,"BE, BELGIUM",842310,HOUSEHOLD GOODS AND PERSONAL E FFECTS 1 OF 1 LVNS CRUZGU TIERREZ CRISTIA SPC WKAS0186 200 CARRIER ALWW 906 LBS. 205 CFT<br/>,1,PKG,CM,410.96,906,LB,8154,1.5,MAEU592190396,MAEU606986845,H,"MAEU, MAERSK LINES, INC.",US,9298698,MAERSK OHIO,010W,,1,10,"42305, ANVERS","1601, CHARLESTON, SC",DEURNE,5,MRSU3606404,4000*906*802,4EB0,CS,5,N,N,END
16-Mar-20,16-Mar-20,DELLINGER PATRICK,UNIT 28130 ATTN: TRANSPORTATION DIVISION 09114 GRAFENWOEHR APO ,"DELLINGER, PATRICK",UNIT 28130,ATTN: TRANSPORTATION DIVISION,"09114 GRAFENWOEHR, APO,",32-33605563,DELLINGER PATRICK,FLCJ CODE 44032 PO BOX 97 NAS BLDG 110 - 1 32212-0097 NAS JACKSONVILLE FL ,"DELLINGER, PATRICK",FLCJ CODE 44032,PO BOX 97 NAS BLDG 110 - 1,"32212-0097 NAS JACKSONVILLE,FL",1-9129660800,DELLINGER PATRICK,FLCJ CODE 44032 PO BOX 97 NAS BLDG 110 - 1 32212-0097 NAS JACKSONVILLE FL ,"DELLINGER, PATRICK",FLCJ CODE 44032,PO BOX 97 NAS BLDG 110 - 1,"32212-0097 NAS JACKSONVILLE,FL",1-9129660800,"BE, BELGIUM",846930,"HOUSEHOLD GOODS AND PERSONAL E FFECTS - SAID TO CONTAIN - SHI PPERS LOAD AND COUNT WKAS01 86114 12 OF 12 VANS DELLINGER, PATRICK AAVH 10771 13605 1898 12 PCS TOTAL 10771 13605 189 8<br/>",12,PKG,CM,6170.77,13604,LB,122436,1.62,MAEU592189706,MAEU606986743,H,"MAEU, MAERSK LINES, INC.",US,9298698,MAERSK OHIO,010W,,1,10,"42305, ANVERS","1601, CHARLESTON, SC",DEURNE,5,MSKU4650150,4500*906*802,LEB0,CY,5,Y,Y,END
16-Mar-20,16-Mar-20,KOHN GABRIEL,LAERCHENSTRASSE 66851 QUEIDERSBACH GERMANY ,"KOHN, GABRIEL",LAERCHENSTRASSE,66851 QUEIDERSBACH,GERMANY,32-33605563,KOHN GABRIEL JPPSO SAT/PPD,2261 HUGHES AVE SUITE 160 78236-9858 LACKLAND AFB TX,"KOHN, GABRIEL",JPPSO-SAT/PPD,"2261 HUGHES AVE, SUITE 160","78236-9858 LACKLAND AFB,TX",1-9046931577,KOHN GABRIEL JPPSO SAT/PPD,2261 HUGHES AVE SUITE 160 78236-9858 LACKLAND AFB TX,"KOHN, GABRIEL",JPPSO-SAT/PPD,"2261 HUGHES AVE, SUITE 160","78236-9858 LACKLAND AFB,TX",1-9046931577,"BE, BELGIUM",290719,HOUSEHOLD GOODS AND PERSONAL E FFECTS 2 OF 2 LVNS KOHN G ABRIEL SSG WKFS0091933 CARRI ER ALOW 2388 LBS. 410 CFT<br/>,2,PKG,CM,1082.74,2387,LB,21483,1.5,MAEU592190334,MAEU606986845,H,"MAEU, MAERSK LINES, INC.",US,9298698,MAERSK OHIO,010W,,1,10,"42305, ANVERS","1601, CHARLESTON, SC",DEURNE,5,MRSU3606404,4000*906*802,4EB0,CS,5,Y,Y,END
16-Mar-20,16-Mar-20,RAUCH ANDREW,TOEPFERWEG 6 54662 SPEICHER GERMANY ,"RAUCH, ANDREW",TOEPFERWEG 6,54662 SPEICHER,GERMANY,32-33605563,RAUCH ANDREW JPPSO SAT/PPD,2261 HUGHES AVE SUITE 160 78236-9858 LACKLAND AFB TX,"RAUCH, ANDREW",JPPSO-SAT/PPD,"2261 HUGHES AVE, SUITE 160","78236-9858 LACKLAND AFB,TX",1-9046931577,RAUCH ANDREW JPPSO SAT/PPD,2261 HUGHES AVE SUITE 160 78236-9858 LACKLAND AFB TX,"RAUCH, ANDREW",JPPSO-SAT/PPD,"2261 HUGHES AVE, SUITE 160","78236-9858 LACKLAND AFB,TX",1-9046931577,"BE, BELGIUM",842310,HOUSEHOLD GOODS AND PERSONAL E FFECTS 6 OF 7 LVNS RAUCH ANDREW TSG WKFS0091988 CARRI ER SSAV 7696 LBS. 1140 CFT<br/>,6,PKG,CM,3490.91,7696,LB,69264,1.5,MAEU592190363,MAEU606986845,H,"MAEU, MAERSK LINES, INC.",US,9298698,MAERSK OHIO,010W,,1,10,"42305, ANVERS","1601, CHARLESTON, SC",DEURNE,5,MRSU3606404,4000*906*802,4EB0,CS,5,Y,Y,END
18-Mar-20,18-Mar-20,LG CHEM LTD,20 YOIDO-DONG YOUNGDUNGPO-GU LG TWIN TOWERS SEOUL SOUTH KOREA 150-721 ,"LG CHEM, LTD.","20 YOIDO-DONG, YOUNGDUNGPO-GU,","LG TWIN TOWERS, SEOUL SOUTH KOREA",150-721,82-37731114,LG CHEM AMERICA INC,3475 PIEDMONT RD NE SUITE 1200 ATLANTA GA 30305 USA ATTN: HYELEE PARK---- ,"LG CHEM AMERICA, INC.","3475 PIEDMONT RD NE, SUITE 1200,","ATLANTA, GA 30305 USA",ATTN: HYELEE PARK----,1-4044006125,LG CHEM AMERICA INC,3475 PIEDMONT RD NE SUITE 1200 ATLANTA GA 30305 USA ATTN: HYELEE PARK--- ,"LG CHEM AMERICA, INC.","3475 PIEDMONT RD NE, SUITE 1200,","ATLANTA, GA 30305 USA",ATTN: HYELEE PARK---,1-4044006125,"KR, REPUBLIC OF KOREA",270730,"P/O : 4501352488 CUSTOMER P/O : 4501352488 EPC LUPOX GP10 00DS KA02 18,400.000 KG --- TAEWONJO@LGCHEM.COM NOTIFY 2) FNS, INC 18301 BROADWICK ST REET, RANCHO DOMINGUEZ, CA 90 220 TEL : 310-667-4800 FZX : 310-667-4889 ---- 1-404-400 -6128 TAEWONJO@LGCHEM.COM -H S CODE:390799<br/>",23,BAG,CM,18484.2,40750,LB,366750,2,MAEU591811463,MAEU591503262,H,"MAEU, MAERSK LINES, INC.",LR,9398450,ZIM ROTTERDAM,056E,,1,10,"58023, PUSAN","1703, SAVANNAH, GA",BUSAN,9,MSKU6462059,4000*806*802,4CB0,CY,5,Y,Y,END
18-Mar-20,20-Mar-20,HYUNDAI CONSTRUCTION EQUIPMENT CO LTD, 12TH FL HYUNDAI BLDG 75 YULGOK -RO JONGNO-GU SEOUL 03058 KOREA ,HYUNDAI CONSTRUCTION EQUIPMENT,"CO., LTD.","12TH FL., HYUNDAI BLDG. 75, YULGOK","-RO, JONGNO-GU,, SEOUL 03058, KOREA",82-27462606,HYUNDAI CONSTRUCTION EQUIPMENT AMERICAS INC,6100 ATLANTIC BLVD NORCROSS GA 30071 U S A ,HYUNDAI CONSTRUCTION EQUIPMENT,"AMERICAS, INC.",6100 ATLANTIC BLVD.,"NORCROSS, GA 30071 U.S.A",1-0000000000,WORLD ASIA LOGISTICS INC,- ATLANTA 3483 SATELLITE BLVD #210S DULUTH GA 30096 U S A TEL : 770-696-5760 ,"WORLD ASIA LOGISTICS, INC.- ATLANTA",3483 SATELLITE BLVD #210S,"DULUTH, GA 30096 U.S.A",TEL : 770-696-5760,1-7706965760,"KR, REPUBLIC OF KOREA",550992,FORKLIFT TRUCK 18LC-7M (S/NO : 0275) 30L-7A (S/NO : 2916 )<br/>,2,PKG,CM,7851.82,17310,LB,155790,1,MAEU591845809,MAEU591506922,H,"MAEU, MAERSK LINES, INC.",DK,9320257,GEORG MAERSK,007E,,1,10,"58023, PUSAN","4601, NEW YORK/NEWARK AREA, NEWARK, NJ",BUSAN,9,MRKU8626653,2000*806*802,2CB0,CS,5,Y,Y,END
20-Mar-20,20-Mar-20,MCLS ASIA CO LTD, HEAD OFFICE: 2 PHANG MUANG CHAPHOR HUAY PONG MUANG RAYONG RAYONG 211 THAILAND ,"MCLS ASIA CO., LTD.",HEAD OFFICE: 2 PHANG MUANG CHAPHOR,"HUAY PONG, MUANG RAYONG, RAYONG 211",", THAILAND",66-20182888,MITSUBISHI INTERNATIONAL FOOD ING,411 HACKENSACK AVENUE SUITE 901 HACNJ 07601 USA TEL:1 201 944-5280 FAX:1 201 947-38,MITSUBISHI INTERNATIONAL FOOD ING,411 HACKENSACK AVENUE SUITE 901 HAC,"NJ 07601, USA",TEL:1(201)944-5280 FAX:1(201)947-38,1-8475172900,1 YUSEN AIR & SEA SERVICE USA,19001 HARBORGATE WAY TORRANCE CA 9 ATTN:MR /MRS CHARITO OCHOA TEL:1 310 -782-0095 FAX:1 310 -782- ,1. YUSEN AIR & SEA SERVICE (U.S.A,"19001 HARBORGATE WAY TORRANCE, CA 9",ATTN:MR./MRS. CHARITO OCHOA,TEL:1(310)-782-0095 FAX:1(310)-782-,1-8475172900,"TH, THAILAND",711620,"SHIPPER S LOAD & COUNT CRYSTA LLINE MALTITOL 34,400.00 KGS./ 34.40 MTS. (CRYSTALLINE MALTI TOL) (AS PER ATTACHED SHEET )<br/>SHIPPER S LOAD & COUNT CRYSTA LLINE MALTITOL 34,400.00 KGS./ 34.40 MTS. (CRYSTALLINE MALTI TOL) (AS PER ATTACHED SHEET )<br/>",40,BAG,CM,35504.18,78272,LB,704448,4,MAEU591219135,MAEU590565170,H,"MAEU, MAERSK LINES, INC.",LR,9398450,ZIM ROTTERDAM,056E,,1,10,"58023, PUSAN","1601, CHARLESTON, SC",LAEM CHABANG,9,"MRKU1007301,MSKU6845103","4000*806*802,4000*806*802","4CB0,4CB0","CY,CY",5,Y,Y,END
20-Mar-20,20-Mar-20,CHOICE TRADE CORP,PVT LT PV SREEDHARAN ROAD CHOICE HOUSE KUMBALAM COCHIN 682506 ,CHOICE TRADING CORPORATION PVT LT,PV SREEDHARAN ROAD,"CHOICE HOUSE, KUMBALAM",COCHIN 682506,91-4842232823,M/S LIPARI FOODS LLC,LIPARI FOODS WAREHOUSE 26661 BENERT RD MI WARREN48089 U S A ,M/S LIPARI FOODS LLC,LIPARI FOODS WAREHOUSE,"26661 BENERT RD , MI",WARREN48089 U.S.A,1-7326616400,JOSEPH C MURRAY & CO INC, 2204 MORRIS AVE SUITE 205A UNION N J 07083 ,JOSEPH C MURRAY & CO INC,2204 MORRIS AVE,SUITE 205A,"UNION, N.J. 07083",1-7326616400,"IN, INDIA",71080,FROZEN COOKED SHRIMP IQF - 130 0 CARTONS FROZEN COOKED SHRIM P RING WITH COCKTAIL SAUCE - 3 000 CARTONS INVOICE NO. TCFP/ 356/19-20 SHIPPING BILL NO. 1 435486 / 17.02.2020 SHIPPER S LOAD STOW COUNT NET WT : 11 004.91 KG (IEC:1001001958)<br/>,4300,CTN,CM,15000.1,33069,LB,297621,1.5,MAEU591935165,MAEU910222814,H,"MAEU, MAERSK LINES, INC.",HK,9162215,MAERSK KARACHI,008W,,1,10,"54201, COLOMBO HARBOR","4601, NEW YORK/NEWARK AREA, NEWARK, NJ",COCHIN,9,MWCU5215394,4000*906*802,4ER0,CY,5,Y,Y,END
20-Mar-20,20-Mar-20,CHOICE TRADE CORP,PVT LT EGA TRADE CENTER NO 809 POONAMALLEE HIGH ROAD KILPAUK CHENNAI 600010 INDIA ,CHOICE TRADING CORPORATION PVT.LT,"EGA TRADE CENTER, NO.809,","POONAMALLEE HIGH ROAD, KILPAUK,","CHENNAI 600010, INDIA",91-4842232823,M/S LIPARI FOODS LLC,LIPARI FOODS WAREHOUSE 26661 BENERT RD MI WARREN48089 U S A ,M/S LIPARI FOODS LLC,LIPARI FOODS WAREHOUSE,"26661 BENERT RD , MI",WARREN48089 U.S.A,1-5865632966,JOSEPH C MURRAY & CO INC, 2204 MORRIS AVE SUITE 205A UNION N J 07083 TEL 973 282 2262 E-MAIL : MARIA@JCM ,JOSEPH C MURRAY & CO INC,"2204 MORRIS AVE, SUITE 205A","UNION, N.J. 07083","TEL 973 282 2262,E-MAIL : MARIA@JCM",1-9732822262,"IN, INDIA",71080,FROZEN COOKED SHRIMP IQF - 330 0 CARTONS INVOICE NO. TCFP/35 9/19-20 SHIPPING BILL NO. 151 9280 DTD 19.02.2020 NET WT. 1 4983.00 KG FREIGHT PREPAID ( IEC:1001001958)<br/>,3300,CTN,CM,18000.21,39683,LB,357147,2,MAEU591937249,MAEU910261293,H,"MAEU, MAERSK LINES, INC.",HK,9162215,MAERSK KARACHI,008W,,1,10,"54201, COLOMBO HARBOR","4601, NEW YORK/NEWARK AREA, NEWARK, NJ",COCHIN,9,MNBU0019756,4000*906*802,4ER0,CS,5,Y,Y,END
20-Mar-20,20-Mar-20,ARGENTA BONOTTO & CI LTDA, RUA DOS CAIGANGUES 775 BAIRRO SERRINHA FONE 46 3263-1315 - CEP 85555-000 ,ARGENTA BONOTTO & CI LTDA,RUA DOS CAIGANGUES 775,BAIRRO SERRINHA,FONE (46) 3263-1315 - CEP 85555-000,55-1131207002,TRIPLAY Y MADERAS DE MAYOREO SA DE,JOSE ANTONIO 108 PARQUE INDUSTRIAL SIGLO XXI COD POSTAL 20283 ,TRIPLAY Y MADERAS DE MAYOREO SA DE,JOSE ANTONIO 108,PARQUE INDUSTRIAL SIGLO XXI,COD. POSTAL 20283,52-4499711797,TRIPLAY Y MADERAS DE MAYOREO SA DE,JOSE ANTONIO 108 PARQUE INDUSTRIAL SIGLO XXI COD POSTAL 20283 ,TRIPLAY Y MADERAS DE MAYOREO SA DE,JOSE ANTONIO 108,PARQUE INDUSTRIAL SIGLO XXI,COD. POSTAL 20283,52-4499711797,"BR, BRAZIL",441219,"SHEETS OF NATURAL<br/>04 X 40 HC CONTAINERS CONTAIN ING 80 PACKAGES WITH 4.900 SHE ETS OF NATURAL,C+/C, WBP GLU E, BRAZILIAN PINE PLYWOOD AS P ER CONTRACT NR. TMM-2008. 20 PACKAGES WITH 1.500 SHEETS OF 2440X1220X12MM 05 PLY ( 53,58 2 M3) 40 PACKAGES WITH 2.400 SHEETS OF 2440X1220X15MM 05 P LY ( 107,164 M3) 20 PACKAGES WITH 1.000 SHEETS OF 2440X122 0X18MM 07 PLY (53,582 M3) SHIPPED ON BOARD FREIGHT COLLECT DU-E: 20BR000212661 -1 RUC: 0BR79539292200000000 000000000142849 NCM: 4412390 0 MRUC: 0BR09412398200000000 000000000021620 -CONSIGNE E/NOTIFY CONTINUATION PHONE: +52 (55) 5784-2584<br/>SHEETS OF NATURAL<br/>SHEETS OF NATURAL<br/>",80,PKG,CM,105080.98,231660,LB,2084940,8.1,SEAU591951820,SEAU591214193,H,"SEAU, SEA-LAND SERVICE, INC",MH,9459436,HANSA GRANITE,009N,,1,10,"35159, PARANAGUA","2002, NEW ORLEANS, LA",PARANAGUA,7,"MRKU3352333,SUDU8513863,TCKU6714515,MRKU4163838","4000*906*802,4000*906*802,4000*906*802,4000*906*802","4EB0,4EB0,4EB0,4EB0","CS,CS,CS,CS",5,Y,Y,END
20-Mar-20,20-Mar-20,ANJANA APPARELS, NO 5 J S HOSERY PARK AVINASHI ROAD ANAIPUDUR TIRUPUR 641652 TAMIL NADU INDIA ,ANJANA APPARELS,"NO.5, J.S.HOSERY PARK, AVINASHI","ROAD, ANAIPUDUR TIRUPUR",641652 TAMIL NADU INDIA,91-4444222111,ASOS US SALES LLC,4505 DERRICK INDUSTRIAL PARKWAY UNION CITY GA 30349 USA ,ASOS US SALES LLC,4505 DERRICK INDUSTRIAL,"PARKWAY,UNION CITY,GA",30349 USA,1-2018340570,DHL GLOBAL FORWARDING AMERICAS GATEWAY MIA,1801 NW 82ND AVENUE MIAMI FL 33126 USA ATTN:MIA APPAREL CC@DHL COM,"DHL GLOBAL FORWARDING,","AMERICAS GATEWAY MIA,1801 NW","82ND AVENUE MIAMI FL 33126, USA.",ATTN:MIA.APPAREL.CC@DHL.COM,1-8622133795,"RO, ROMANIA",170240,"84 CARTONS (EIGHTY FOUR CARTON S) 100% MODAL WOVEN LADIES PY JAMA SET, 64% POLYESTER 36% C OTTON KNITTED LADIES PANT, LA DIES SHORTS,COTTON KNITTED LAD IES PYJAMA SET(TOP:100% COTTO N, BOTTOM: 95% COTTON 5% ELAS THAN),100% COTTON KNITTED LAD IES PYJAMA SET,95% COTTON 5% E LASTHAN KNITTED LADIES PYJAMA SET,71% POLYESTER 28% VISCOS E 1% ELASTHAN KNITTED LADIES PYJAMA SET PO NO.430029878,43 0029613,430029616, 430029729, 430029644,430028856,430029726, 430029647,430028796 & 430028 838 SECOND NOTIFY: CN LOGIST ICS BORINSKI RD. LINCOLN PARK , NJ 07035, USA GINO.SCUDIERE @CNLOGISTICSUSA.COM PHONE: +1 -201-834-0570 JOB NO. 1007302 , 1007539 , =FREIGHT COLLECT = IEC NO. 3213027758 S/B NO. 1181850 DT 05-02-20,1369988 D T 13-02-20, INV.NO. AA-183/20 19-20 DT. 11-02-20, AA-180/201 9-20 DT. 04-02-20 CONTNR. NO. :- MRKU8849575 DRY STANDARD 20 LCL 84 PKGS SEAL NO. IN2588 957<br/>",84,CTN,CM,434.55,958,LB,8622,1,SAFM591894456,SAFM591502773,H,"SAFM, SAFMARINE",US,9333010,MAERSK KENSINGTON,007W,,1,10,"52330, SALALAH","1601, CHARLESTON, SC",KATTUPALLI,5,MRKU8849575,2000*806*802,2CB0,CS,5,Y,Y,END
20-Mar-20,20-Mar-20,VALUE FASHIONS,87/2 KALIAMMAN KOVIL STREET YELATHOTTAM 15 VELAMPALAYAM TIRUPUR 641652 TAMIL NADU INDIA,VALUE FASHIONS,"87/2, KALIAMMAN KOVIL STREET","YELATHOTTAM, 15, VELAMPALAYAM",TIRUPUR 641652 TAMIL NADU INDIA,91-4444222111,ASOS US SALES LLC,4505 DERRICK INDUSTRIAL PARKWAY UNION CITY GA 30349 USA ,ASOS US SALES LLC,4505 DERRICK INDUSTRIAL,"PARKWAY,UNION CITY,GA",30349 USA,1-2018340570,DHL GLOBAL FORWARDING AMERICAS GATEWAY MIA,1801 NW 82ND AVENUE MIAMI FL 33126 USA ATTN:MIA APPAREL CC@DHL COM,"DHL GLOBAL FORWARDING,","AMERICAS GATEWAY MIA,1801 NW","82ND AVENUE MIAMI FL 33126, USA.",ATTN:MIA.APPAREL.CC@DHL.COM,1-8622133795,"RO, ROMANIA",170240,"21 CARTONS (TWENTY ONE CARTONS ) DESCRIPTION : 77% VISCOSE 19% POLYESTER 4% ELASTANE KNIT TED LADIES VEST 77% VISCOSE 1 9% POLYESTER 4% ELASTANE KNITT ED LADIES JOGGER 77% VISCOSE 19% POLYESTER 4% ELASTANE KNI TTED LADIES SHORTS 77 % VISC OSE 19% POLYESTER 4% ELASTANE KNITTED LADIES TOP 100% COTTO N KNITTED LADIES TEE-SHIRT PO : 0430029228 , 0430029237,043 0029234,0430029231 ,0430028185 JOB NO. 1007532 , FREIGHT C OLLECT= IEC NO. 3209018120 S /B NO. 1397059 DT 14-02-20, I NV.NO. VF/EXP/0103/2019 DT. 12 -02-20 CONTNR. NO. :- MRKU88 49575 DRY STANDARD 20 LCL 21 P KGS SEAL NO. IN2588957<br/>",21,CTN,CM,190.97,421,LB,3789,1,SAFM591894496,SAFM591502773,H,"SAFM, SAFMARINE",US,9333010,MAERSK KENSINGTON,007W,,1,10,"52330, SALALAH","1601, CHARLESTON, SC",KATTUPALLI,5,MRKU8849575,2000*806*802,2CB0,CS,5,Y,Y,END
